_Time,Message Type,Core,apn1I,MDN,IMEI,APN,IP,Download,Upload,Service,Rule,eNB,Sector,Sy Counter ID,Sy Value,Sy Result Code
6/8/2018 14:34:43,GX_CCR_INITIAL,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,863634xxxxxxxxx,apn1,10.xx.xx.xx,20480000,20480000,service1,rule 1,XXXX,1,,,
6/8/2018 14:34:43,GX_CCR_INITIAL,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,863634xxxxxxxxx,apn1,10.xx.xx.xx,20480000,20480000,service1,rule 2,XXXX,1,,,
6/8/2018 14:34:43,GX_CCR_INITIAL,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,863634xxxxxxxxx,apn2,10.xx.xxx.xx,1048000,1048000,service2,rule 3,XXXX,1,,,
6/8/2018 14:34:43,GX_CCR_INITIAL,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,863634xxxxxxxxx,apn2,10.xx.xxx.xx,1048000,1048000,service2,rule 4,XXXX,1,,,
6/8/2018 14:34:44,GX_RAR,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,863634xxxxxxxxx,apn1,10.xx.xx.xx,20480000,20480000,service3,rule 5,XXXX,1,,,
6/8/2018 14:40:14,GX_RAR,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,863634xxxxxxxxx,apn2,10.xx.xxx.xx,4096000,4096000,service4,rule 6,XXXX,1,,,
6/8/2018 14:40:14,SubscribeService,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,,,,,,service4,,,,,,
6/8/2018 14:40:14,Sy_SLR_Initial,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,,,,,,,,,,Sy_Counter1,1,2001
6/8/2018 15:10:11,GX_RAR,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,863634xxxxxxxxx,apn2,10.xx.xxx.xx,1048000,1048000,service2,rule 3,XXXX,1,,,
6/8/2018 15:10:11,GX_RAR,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,863634xxxxxxxxx,apn2,10.xx.xxx.xx,1048000,1048000,service2,rule 4,XXXX,1,,,
6/8/2018 15:10:11,Sy_STR,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,,,,,,,,,,,,2001
6/8/2018 15:10:11,UnSubscribeService,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,,,,,,service4,,,,,,
6/8/2018 15:10:14,GX_RAR,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,863634xxxxxxxxx,apn2,10.xx.xxx.xx,4096000,4096000,service4,rule 6,XXXX,1,,,
6/8/2018 15:10:14,SubscribeService,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,,,,,,service4,,,,,,
6/8/2018 15:10:14,Sy_SLR_Initial,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,,,,,,,,,,Sy_Counter1,1,2001
6/8/2018 15:36:26,Sy_STR,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,,,,,,,,,,,,2001
6/8/2018 15:36:28,GX_CCR_INITIAL,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,863634xxxxxxxxx,apn2,10.xx.xx.xx,1024000,1024000,service4,rule 7,XXXX,1,,,
6/8/2018 15:36:28,GX_CCR_INITIAL,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,863634xxxxxxxxx,apn2,10.xx.xx.xx,1024000,1024000,service4,rule 7_QoS,XXXX,1,,,
6/8/2018 15:36:28,Sy_SLR_Initial,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,,,,,,,,,,Sy_Counter1,1,2001
6/8/2018 15:36:29,GX_CCR_INITIAL,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,863634xxxxxxxxx,apn1,10.xx.xx.xx,20480000,20480000,service1,rule 1,XXXX,1,,,
6/8/2018 15:36:29,GX_CCR_INITIAL,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,863634xxxxxxxxx,apn1,10.xx.xx.xx,20480000,20480000,service1,rule 2,XXXX,1,,,
6/8/2018 15:36:29,GX_RAR,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,863634xxxxxxxxx,apn1,10.xx.xx.xx,20480000,20480000,service3,rule 5,XXXX,1,,,
6/8/2018 15:37:16,GX_RAR,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,863634xxxxxxxxx,apn2,10.xx.xx.xx,4096000,4096000,service4,rule 6,XXXX,1,,,
6/8/2018 15:37:16,Sy_SNR,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,,,,,,,,,,Sy_Counter1,1,0
6/8/2018 15:37:28,Sy_STR,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,,,,,,,,,,,,2001
6/8/2018 15:37:31,GX_CCR_INITIAL,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,863634xxxxxxxxx,apn1,10.xx.xx.xx,20480000,20480000,service1,rule 1,XXXX,1,,,
6/8/2018 15:37:31,GX_CCR_INITIAL,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,863634xxxxxxxxx,apn1,10.xx.xx.xx,20480000,20480000,service1,rule 2,XXXX,1,,,
6/8/2018 15:37:31,GX_CCR_INITIAL,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,863634xxxxxxxxx,apn2,10.xx.xx.xx,4096000,4096000,service4,rule 8_default,XXXX,1,,,
6/8/2018 15:37:31,GX_CCR_INITIAL,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,863634xxxxxxxxx,apn2,10.xx.xx.xx,4096000,4096000,service4,rule 8_out,XXXX,1,,,
6/8/2018 15:37:31,GX_CCR_INITIAL,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,863634xxxxxxxxx,apn2,10.xx.xx.xx,4096000,4096000,service4,rule 6,XXXX,1,,,
6/8/2018 15:37:31,Sy_SLR_Initial,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,,,,,,,,,,Sy_Counter1,1,2001
6/8/2018 15:37:32,GX_RAR,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,863634xxxxxxxxx,apn1,10.xx.xx.xx,20480000,20480000,service3,rule 5,XXXX,1,,,
6/8/2018 15:40:11,GX_RAR,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,863634xxxxxxxxx,apn2,10.xx.xx.xx,1048000,1048000,service2,rule 4,XXXX,1,,,
6/8/2018 15:40:11,Sy_STR,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,,,,,,,,,,,,2001
6/8/2018 15:40:11,UnSubscribeService,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,,,,,,service4,,,,,,
6/8/2018 15:40:16,GX_RAR,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,863634xxxxxxxxx,apn2,10.xx.xx.xx,4096000,4096000,service4,rule 6,XXXX,1,,,
6/8/2018 15:40:16,SubscribeService,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,,,,,,service4,,,,,,
6/8/2018 15:40:16,Sy_SLR_Initial,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,,,,,,,,,,Sy_Counter1,1,2001
6/8/2018 15:47:58,Sy_STR,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,,,,,,,,,,,,2001
6/8/2018 15:48:09,GX_CCR_INITIAL,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,863634xxxxxxxxx,apn2,10.xx.xx.xx,1024000,1024000,service4,rule 7,XXXX,1,,,
6/8/2018 15:48:09,GX_CCR_INITIAL,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,863634xxxxxxxxx,apn2,10.xx.xx.xx,1024000,1024000,service4,rule 7_QoS,XXXX,1,,,
6/8/2018 15:48:09,Sy_SLR_Initial,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,,,,,,,,,,,1,0
6/8/2018 15:48:09,Sy_STR,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,,,,,,,,,,,,2001
6/8/2018 15:48:12,GX_CCR_INITIAL,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,863634xxxxxxxxx,apn1,10.xx.xx.xx,20480000,20480000,service1,rule 1,XXXX,1,,,
6/8/2018 15:48:12,GX_CCR_INITIAL,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,863634xxxxxxxxx,apn1,10.xx.xx.xx,20480000,20480000,service1,rule 2,XXXX,1,,,
6/8/2018 15:48:12,Sy_SLR_Initial,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,,,,,,,,,,,1,0
6/8/2018 15:48:12,Sy_STR,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,,,,,,,,,,,,2001
6/8/2018 15:48:13,GX_RAR,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,863634xxxxxxxxx,apn1,10.xx.xx.xx,20480000,20480000,service3,rule 5,XXXX,1,,,
6/8/2018 16:01:49,GX_CCR_INITIAL,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,863634xxxxxxxxx,apn2,10.xx.xx.xx,4096000,4096000,service4,rule 8_default,XXXX,1,,,
6/8/2018 16:01:49,GX_CCR_INITIAL,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,863634xxxxxxxxx,apn2,10.xx.xx.xx,4096000,4096000,service4,rule 8_out,XXXX,1,,,
6/8/2018 16:01:49,GX_CCR_INITIAL,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,863634xxxxxxxxx,apn2,10.xx.xx.xx,4096000,4096000,service4,rule 6,XXXX,1,,,
6/8/2018 16:01:49,Sy_SLR_Initial,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,,,,,,,,,,Sy_Counter1,1,2001
6/8/2018 16:06:29,GX_RAR,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,863634xxxxxxxxx,apn2,10.xx.xx.xx,1024000,1024000,service4,rule 7_QoS,XXXX,1,,,
6/8/2018 16:06:29,Sy_SNR,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,,,,,,,,,,Sy_Counter1,1,0
6/8/2018 16:07:17,GX_RAR,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,863634xxxxxxxxx,apn2,10.xx.xx.xx,4096000,4096000,service4,rule 6,XXXX,1,,,
6/8/2018 16:07:17,Sy_SNR,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,,,,,,,,,,Sy_Counter1,1,0
6/8/2018 16:07:36,Sy_STR,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,,,,,,,,,,,,2001
6/8/2018 16:07:39,GX_CCR_INITIAL,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,863634xxxxxxxxx,apn2,10.xx.xx.xx,4096000,4096000,service4,rule 8_default,XXXX,1,,,
6/8/2018 16:07:39,GX_CCR_INITIAL,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,863634xxxxxxxxx,apn2,10.xx.xx.xx,4096000,4096000,service4,rule 8_out,XXXX,1,,,
6/8/2018 16:07:39,GX_CCR_INITIAL,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,863634xxxxxxxxx,apn2,10.xx.xx.xx,4096000,4096000,service4,rule 6,XXXX,1,,,
6/8/2018 16:07:39,Sy_SLR_Initial,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,,,,,,,,,,Sy_Counter1,1,2001
6/8/2018 16:10:11,GX_RAR,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,863634xxxxxxxxx,apn2,10.xx.xx.xx,1048000,1048000,service2,rule 4,XXXX,1,,,
6/8/2018 16:10:11,Sy_STR,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,,,,,,,,,,,,2001
6/8/2018 16:10:11,UnSubscribeService,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,,,,,,service4,,,,,,
6/8/2018 16:10:17,GX_RAR,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,863634xxxxxxxxx,apn2,10.xx.xx.xx,4096000,4096000,service4,rule 6,XXXX,1,,,
6/8/2018 16:10:17,SubscribeService,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,,,,,,service4,,,,,,
6/8/2018 16:10:17,Sy_SLR_Initial,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,,,,,,,,,,Sy_Counter1,1,2001
6/8/2018 16:15:51,Sy_STR,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,,,,,,,,,,,,2001
6/8/2018 16:15:54,GX_CCR_INITIAL,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,863634xxxxxxxxx,apn2,10.xx.xx.xx,1024000,1024000,service4,rule 7,XXXX,1,,,
6/8/2018 16:15:54,GX_CCR_INITIAL,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,863634xxxxxxxxx,apn2,10.xx.xx.xx,1024000,1024000,service4,rule 7_QoS,XXXX,1,,,
6/8/2018 16:15:54,Sy_SLR_Initial,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,,,,,,,,,,Sy_Counter1,1,2001
6/8/2018 16:17:20,GX_RAR,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,863634xxxxxxxxx,apn2,10.xx.xx.xx,4096000,4096000,service4,rule 6,XXXX,1,,,
6/8/2018 16:17:20,Sy_SNR,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,,,,,,,,,,Sy_Counter1,1,0
6/8/2018 16:20:09,Sy_STR,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,,,,,,,,,,,,2001
6/8/2018 16:21:10,GX_CCR_INITIAL,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,863634xxxxxxxxx,apn2,10.xx.xx.xx,1024000,1024000,service4,rule 7,XXXX,1,,,
6/8/2018 16:21:10,GX_CCR_INITIAL,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,863634xxxxxxxxx,apn2,10.xx.xx.xx,1024000,1024000,service4,rule 7_QoS,XXXX,1,,,
6/8/2018 16:21:10,Sy_SLR_Initial,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,,,,,,,,,,Sy_Counter1,1,2001
6/8/2018 16:22:33,GX_RAR,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,863634xxxxxxxxx,apn2,10.xx.xx.xx,4096000,4096000,service4,rule 6,XXXX,1,,,
6/8/2018 16:22:33,Sy_SNR,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,,,,,,,,,,Sy_Counter1,1,0
6/8/2018 16:47:43,Sy_STR,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,,,,,,,,,,,,2001
6/8/2018 16:47:46,GX_CCR_INITIAL,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,863634xxxxxxxxx,apn2,10.xx.xx.xx,4096000,4096000,service4,rule 8_default,XXXX,1,,,
6/8/2018 16:47:46,GX_CCR_INITIAL,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,863634xxxxxxxxx,apn2,10.xx.xx.xx,4096000,4096000,service4,rule 8_out,XXXX,1,,,
6/8/2018 16:47:46,GX_CCR_INITIAL,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,863634xxxxxxxxx,apn2,10.xx.xx.xx,4096000,4096000,service4,rule 6,XXXX,1,,,
6/8/2018 16:47:46,Sy_SLR_Initial,Core01,418xxxxxxxxxxxx,964xxxxxxxxx,,,,,,,,,,Sy_Counter1,1,2001
